Meta-model ID / Model ID	Meta-model name / Model name	Category	Confers resistance to
1227	aadA2	Strict	spectinomycin, streptomycin
1031	APH(6)-Id	Strict	streptomycin
355	TEM-1	Perfect	amoxicillin, ampicillin, cefalotin
952	sul2	Perfect	sulfadiazine, sulfadimidine, sulfadoxine, sulfamethoxazole, sulfisoxazole, sulfacetamide, mafenide, sulfasalazine, sulfamethizole
2158	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	Strict	pulvomycin
2881	tet(59)	Strict	tetracycline, chlortetracycline, oxytetracycline
2051	dfrA15	Strict	trimethoprim
2898	Shigella flexneri chloramphenicol acetyltransferase	Strict	chloramphenicol
1830	APH(3'')-Ib	Strict	streptomycin
375	mdtH	Perfect	enoxacin, norfloxacin
2267	Escherichia coli nfsA mutations conferring resistance to nitrofurantoin	Strict	nitrofurantoin
2379	Escherichia coli CyaA with mutation conferring resistance to fosfomycin	Strict	fosfomycin
2424	YojI	Strict	microcin J25
2423	msbA	Perfect	metronidazole
2656	Escherichia coli emrE	Strict	erythromycin
2372	Escherichia coli GlpT with mutation conferring resistance to fosfomycin	Strict	fosfomycin
2744	Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline	Partial	ciprofloxacin, tetracycline, ampicillin, cefalotin
37	Escherichia coli mdfA	Strict	tetracycline, benzalkonium chloride, rhodamine
603	mdtG	Perfect	fosfomycin
1285	SAT-2	Perfect	streptothricin
1820	bacA	Strict	bacitracin A, bacitracin B, bacitracin F
