Meta-model ID / Model ID	Meta-model name / Model name	Category	Confers resistance to
1031	APH(6)-Id	Strict	streptomycin
355	TEM-1	Perfect	amoxicillin, ampicillin, cefalotin
952	sul2	Perfect	sulfadiazine, sulfadimidine, sulfadoxine, sulfamethoxazole, sulfisoxazole, sulfacetamide, mafenide, sulfasalazine, sulfamethizole
2158	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	Strict	pulvomycin
403	dfrA8	Perfect	trimethoprim
1830	APH(3'')-Ib	Strict	streptomycin
375	mdtH	Strict	enoxacin, norfloxacin
2087	aadA13	Strict	spectinomycin, streptomycin
2267	Escherichia coli nfsA mutations conferring resistance to nitrofurantoin	Strict	nitrofurantoin
2373	Escherichia coli UhpT with mutation conferring resistance to fosfomycin	Strict	fosfomycin
2379	Escherichia coli CyaA with mutation conferring resistance to fosfomycin	Strict	fosfomycin
2424	YojI	Strict	microcin J25
2423	msbA	Perfect	metronidazole
2372	Escherichia coli GlpT with mutation conferring resistance to fosfomycin	Strict	fosfomycin
2744	Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline	Partial	ciprofloxacin, tetracycline, ampicillin, cefalotin
37	Escherichia coli mdfA	Strict	tetracycline, benzalkonium chloride, rhodamine
603	mdtG	Strict	fosfomycin
1820	bacA	Strict	bacitracin A, bacitracin B, bacitracin F
