Meta-model ID / Model ID	Meta-model name / Model name	Category	Confers resistance to
1031	APH(6)-Id	Strict	streptomycin
1243	mphA	Perfect	erythromycin, roxithromycin, telithromycin, clarithromycin, azithromycin, dirithromycin, oleandomycin
952	sul2	Strict	sulfadiazine, sulfadimidine, sulfadoxine, sulfamethoxazole, sulfisoxazole, sulfacetamide, mafenide, sulfasalazine, sulfamethizole
2158	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	Strict	pulvomycin
763	catI	Perfect	azidamfenicol, chloramphenicol, thiamphenicol
458	tet(B)	Strict	tetracycline
1191	mdtM	Strict	acriflavin, lincomycin, puromycin, chloramphenicol, norfloxacin
1138	tet(D)	Strict	tetracycline
1830	APH(3'')-Ib	Strict	streptomycin
1070	sul1	Perfect	sulfadiazine, sulfadimidine, sulfadoxine, sulfamethoxazole, sulfisoxazole, sulfacetamide, mafenide, sulfasalazine, sulfamethizole
375	mdtH	Strict	enoxacin, norfloxacin
650	aadA	Strict	spectinomycin, streptomycin
2267	Escherichia coli nfsA mutations conferring resistance to nitrofurantoin	Strict	nitrofurantoin
2379	Escherichia coli CyaA with mutation conferring resistance to fosfomycin	Strict	fosfomycin
2424	YojI	Strict	microcin J25
2423	msbA	Perfect	metronidazole
2372	Escherichia coli GlpT with mutation conferring resistance to fosfomycin	Strict	fosfomycin
2744	Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline	Partial	ciprofloxacin, tetracycline, ampicillin, cefalotin
37	Escherichia coli mdfA	Strict	tetracycline, benzalkonium chloride, rhodamine
603	mdtG	Perfect	fosfomycin
1820	bacA	Strict	bacitracin A, bacitracin B, bacitracin F
