Meta-model ID / Model ID	Meta-model name / Model name	Category	Confers resistance to
355	TEM-1	Perfect	amoxicillin, ampicillin, cefalotin
2158	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	Strict	pulvomycin
375	mdtH	Perfect	enoxacin, norfloxacin
2267	Escherichia coli nfsA mutations conferring resistance to nitrofurantoin	Strict	nitrofurantoin
2379	Escherichia coli CyaA with mutation conferring resistance to fosfomycin	Strict	fosfomycin
2424	YojI	Strict	microcin J25
2423	msbA	Strict	metronidazole
2656	Escherichia coli emrE	Strict	erythromycin
2372	Escherichia coli GlpT with mutation conferring resistance to fosfomycin	Strict	fosfomycin
2744	Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline	Partial	ciprofloxacin, tetracycline, ampicillin, cefalotin
37	Escherichia coli mdfA	Strict	tetracycline, benzalkonium chloride, rhodamine
603	mdtG	Strict	fosfomycin
1820	bacA	Strict	bacitracin A, bacitracin B, bacitracin F
