Meta-model ID / Model ID	Meta-model name / Model name	Category	Confers resistance to
1031	APH(6)-Id	Strict	streptomycin
1405	armA	Perfect	dibekacin, amikacin, gentamicin C, sisomicin, netilmicin, kanamycin A, tobramycin, isepamicin, G418, arbekacin, gentamicin B
355	TEM-1	Perfect	amoxicillin, ampicillin, cefalotin
952	sul2	Perfect	sulfadiazine, sulfadimidine, sulfadoxine, sulfamethoxazole, sulfisoxazole, sulfacetamide, mafenide, sulfasalazine, sulfamethizole
2158	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	Strict	pulvomycin
2881	tet(59)	Strict	tetracycline, chlortetracycline, oxytetracycline
2898	Shigella flexneri chloramphenicol acetyltransferase	Strict	chloramphenicol
1830	APH(3'')-Ib	Strict	streptomycin
1070	sul1	Perfect	sulfadiazine, sulfadimidine, sulfadoxine, sulfamethoxazole, sulfisoxazole, sulfacetamide, mafenide, sulfasalazine, sulfamethizole
375	mdtH	Perfect	enoxacin, norfloxacin
235	OXA-181	Perfect	amoxicillin-clavulanic acid, piperacillin-tazobactam
650	aadA	Strict	spectinomycin, streptomycin
1450	Escherichia coli parC conferring resistance to fluoroquinolone	Strict	enoxacin, ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, lomefloxacin, nalidixic acid, norfloxacin, ofloxacin, trovafloxacin, grepafloxacin, sparfloxacin, pefloxacin
2267	Escherichia coli nfsA mutations conferring resistance to nitrofurantoin	Strict	nitrofurantoin
2403	Salmonella enterica gyrA conferring resistance to fluoroquinolones	Strict	ciprofloxacin, nalidixic acid
2379	Escherichia coli CyaA with mutation conferring resistance to fosfomycin	Strict	fosfomycin
2424	YojI	Strict	microcin J25
2423	msbA	Perfect	metronidazole
2372	Escherichia coli GlpT with mutation conferring resistance to fosfomycin	Strict	fosfomycin
2744	Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline	Partial	ciprofloxacin, tetracycline, ampicillin, cefalotin
37	Escherichia coli mdfA	Strict	tetracycline, benzalkonium chloride, rhodamine
603	mdtG	Perfect	fosfomycin
1820	bacA	Strict	bacitracin A, bacitracin B, bacitracin F
