Meta-model ID / Model ID	Meta-model name / Model name	Category	Confers resistance to
2158	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	Strict	pulvomycin
375	mdtH	Strict	enoxacin, norfloxacin
1545	Escherichia coli gyrA conferring resistance to fluoroquinolones	Strict	enoxacin, ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, lomefloxacin, nalidixic acid, norfloxacin, ofloxacin, trovafloxacin, grepafloxacin, sparfloxacin, pefloxacin
2267	Escherichia coli nfsA mutations conferring resistance to nitrofurantoin	Strict	nitrofurantoin
2424	YojI	Strict	microcin J25
2423	msbA	Strict	metronidazole
2656	Escherichia coli emrE	Strict	erythromycin
2372	Escherichia coli GlpT with mutation conferring resistance to fosfomycin	Strict	fosfomycin
2744	Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline	Partial	ciprofloxacin, tetracycline, ampicillin, cefalotin
37	Escherichia coli mdfA	Strict	tetracycline, benzalkonium chloride, rhodamine
603	mdtG	Strict	fosfomycin
1820	bacA	Strict	bacitracin A, bacitracin B, bacitracin F
