Meta-model ID / Model ID	Meta-model name / Model name	Category	Confers resistance to
1420	aadA5	Perfect	spectinomycin, streptomycin
900	tet(C)	Strict	tetracycline
1031	APH(6)-Id	Strict	streptomycin
1243	mphA	Perfect	erythromycin, roxithromycin, telithromycin, clarithromycin, azithromycin, dirithromycin, oleandomycin
952	sul2	Perfect	sulfadiazine, sulfadimidine, sulfadoxine, sulfamethoxazole, sulfisoxazole, sulfacetamide, mafenide, sulfasalazine, sulfamethizole
2158	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	Strict	pulvomycin
1825	CTX-M-27	Perfect	ceftazidime, cefalotin
1142	dfrA17	Strict	trimethoprim
1830	APH(3'')-Ib	Strict	streptomycin
1070	sul1	Perfect	sulfadiazine, sulfadimidine, sulfadoxine, sulfamethoxazole, sulfisoxazole, sulfacetamide, mafenide, sulfasalazine, sulfamethizole
375	mdtH	Strict	enoxacin, norfloxacin
1549	ErmB	Strict	erythromycin, roxithromycin, lincomycin, telithromycin, clarithromycin, clindamycin, tylosin, spiramycin, azithromycin, dirithromycin, pristinamycin IA, quinupristin, pristinamycin IIA, madumycin II, griseoviridin, dalfopristin, pristinamycin IB, virginiamycin S2, vernamycin B-gamma, vernamycin C, patricin A, patricin B, ostreogrycin B3, oleandomycin
1450	Escherichia coli parC conferring resistance to fluoroquinolone	Strict	enoxacin, ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, lomefloxacin, nalidixic acid, norfloxacin, ofloxacin, trovafloxacin, grepafloxacin, sparfloxacin, pefloxacin
2267	Escherichia coli nfsA mutations conferring resistance to nitrofurantoin	Strict	nitrofurantoin
2403	Salmonella enterica gyrA conferring resistance to fluoroquinolones	Strict	ciprofloxacin, nalidixic acid
2373	Escherichia coli UhpT with mutation conferring resistance to fosfomycin	Strict	fosfomycin
2424	YojI	Strict	microcin J25
2423	msbA	Strict	metronidazole
2656	Escherichia coli emrE	Strict	erythromycin
2744	Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline	Partial	ciprofloxacin, tetracycline, ampicillin, cefalotin
37	Escherichia coli mdfA	Strict	tetracycline, benzalkonium chloride, rhodamine
603	mdtG	Strict	fosfomycin
1820	bacA	Perfect	bacitracin A, bacitracin B, bacitracin F
