Meta-model ID / Model ID	Meta-model name / Model name	Category	Confers resistance to
900	tet(C)	Strict	tetracycline
1031	APH(6)-Id	Strict	streptomycin
952	sul2	Perfect	sulfadiazine, sulfadimidine, sulfadoxine, sulfamethoxazole, sulfisoxazole, sulfacetamide, mafenide, sulfasalazine, sulfamethizole
2158	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	Strict	pulvomycin
1191	mdtM	Strict	acriflavin, lincomycin, puromycin, chloramphenicol, norfloxacin
1830	APH(3'')-Ib	Strict	streptomycin
375	mdtH	Strict	enoxacin, norfloxacin
2267	Escherichia coli nfsA mutations conferring resistance to nitrofurantoin	Strict	nitrofurantoin
2424	YojI	Strict	microcin J25
2423	msbA	Perfect	metronidazole
2656	Escherichia coli emrE	Strict	erythromycin
2372	Escherichia coli GlpT with mutation conferring resistance to fosfomycin	Strict	fosfomycin
37	Escherichia coli mdfA	Strict	tetracycline, benzalkonium chloride, rhodamine
603	mdtG	Perfect	fosfomycin
1820	bacA	Perfect	bacitracin A, bacitracin B, bacitracin F
